"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6727","@bahasrl Gatau aku pakenya Telkomsel:(",FALSE,0,"bahasrl",2019-10-17 19:06:31,FALSE,"1184908400515141632","1184908566370512897","1144761475476541440","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","athenadewicanci",0,FALSE,FALSE,NA,NA
"6728","RT @stayeverafter: 🌸Giveaway grabfood chatime, novel, dan pulsa 20k (khusus pengguna telkomsel) untuk 3 pemenang🌸

Syarat:
-Rt + like + fol…",FALSE,0,NA,2019-10-17 19:05:50,FALSE,NA,"1184908396484427776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rose_eonni",485,TRUE,FALSE,NA,NA
"6729","@soojungx Tanggal dan waktu kejadian,
3. Mode jaringan yang digunakan,
4. Jumlah bar sinyal yang di dapat,
5. Tipe… https://t.co/sZGSq5bhty",FALSE,0,"soojungx",2019-10-17 19:05:46,TRUE,"1184900312265453568","1184908379682009088","929557898786566147","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6730","@soojungx Hai, Kak. Maaf udah bikin gak nyaman. Apakah kendala masih di nomor 081384891xxx? Mimin cek di nomor ters… https://t.co/vpj6ebxt3W",FALSE,0,"soojungx",2019-10-17 19:05:46,TRUE,"1184900312265453568","1184908378121723904","929557898786566147","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6731","@izzythufeil menit/bulan
3. SMS ke sesama Telkomsel 200 SMS/bulan
4. Kuota semua jaringan 15GB/bulan
5. Kuota Enter… https://t.co/PRI9NxN8sq",FALSE,0,"izzythufeil",2019-10-17 19:04:49,TRUE,"1184899076896092160","1184908139885256704","141827475","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6732","@izzythufeil Selamat malam. Terkait Bundling Samsung Galaxy Note 10. Untuk pembayaran cicilan sesuai dengan kebijak… https://t.co/r7VuBmjeJy",FALSE,0,"izzythufeil",2019-10-17 19:04:49,TRUE,"1184899076896092160","1184908138203402240","141827475","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6733","@_____apm666 Baik, makasih atas feedbacknya dan udah jadi pelanggan setia Telkomsel :)",FALSE,0,"_____apm666",2019-10-17 19:03:43,FALSE,"1184856472947064832","1184907862293671936","1109413705152782336","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6734","Halo min @Telkomsel sinyal 4g LTE di area Jasinga dan sekitarnya sudah 3 hari buruk dalam pelayanan data, bisa di f… https://t.co/BO9cTpqKXH",FALSE,0,NA,2019-10-17 19:03:32,TRUE,NA,"1184907814356938752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanangWdy",0,FALSE,FALSE,NA,NA
"6735","@jusufwib Jumlah bar sinyal yang di dapat,
7.  Kejadian terjadi di luar atau di dalam ruangan,
8. Nomor Telkomsel l… https://t.co/enuopc83ze",FALSE,0,"jusufwib",2019-10-17 18:59:14,TRUE,"1184899483554869253","1184906732767567872","111887138","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6736","@jusufwib Hai, Kak Wibowo. Maaf udah bikin gak nyaman. Terkait kendala akses internet lambat, yuk infoin data berik… https://t.co/eOqUWWKNot",FALSE,0,"jusufwib",2019-10-17 18:59:13,TRUE,"1184899483554869253","1184906731354112000","111887138","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6737","@agus_noor @gojekindonesia Kenapa ya nomor hp yg digunakan untuk penipuan selalu menggunakan provider @Telkomsel ?… https://t.co/PbbaicXMyj",FALSE,0,"agus_noor",2019-10-17 18:56:36,TRUE,"1184847082626015232","1184906071330045952","116423149","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IdaBagusArya",0,FALSE,FALSE,NA,NA
"6738","@Telkomsel Yaallah dri tdi min nunggu",FALSE,0,"Telkomsel",2019-10-17 18:56:26,FALSE,"1184905941482790912","1184906029785440256","255409050","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rizqisepth",0,FALSE,FALSE,NA,NA
"6739","@Rizqisepth Baik, silakan tunggu balasan melalui DM yah. Makasih :) -Habi",FALSE,0,"Rizqisepth",2019-10-17 18:56:05,FALSE,"1184864353092157440","1184905941482790912","2572335253","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6740","@nadheratsy infrastruktur pada setiap lokasi di Indonesia. Namun, makasih buat feedback yang diberikan, kami mengap… https://t.co/Y4fMbQJ2pb",FALSE,0,"nadheratsy",2019-10-17 18:56:02,TRUE,"1184899237357637637","1184905929784840193","1069266576","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6741","@nadheratsy Hai, Kak. Maaf banget ya kalau bikin jadi gak nyaman. Terkait tarif paket menyesuaikan pada besaran bia… https://t.co/Ax3bmYipc9",FALSE,0,"nadheratsy",2019-10-17 18:56:02,TRUE,"1184899237357637637","1184905928312684544","1069266576","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6742","Telkomsel lagi busuk apa yaa",FALSE,0,NA,2019-10-17 18:54:39,FALSE,NA,"1184905581338845184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sakaaz",0,FALSE,FALSE,NA,NA
"6743","@Telkomsel Saya sudah aktifkan paket roaming asia australia tapi saya tetap tidak bisa sms",FALSE,0,"Telkomsel",2019-10-17 18:54:07,FALSE,NA,"1184905445493723136","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fauzy_tjahyo",0,FALSE,FALSE,NA,NA
"6744","@handoko_asli @Telkomsel gw pernah ngeCs di bank setahun pas baru lulus kuliah. Yaa ada laah kepikiran buat berante… https://t.co/OgfJm3tTdI",FALSE,1,"handoko_asli",2019-10-17 18:54:05,TRUE,"1183775499283075076","1184905439504261120","126462366","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rachm_adi",0,FALSE,FALSE,NA,NA
"6745","@Telkomsel tolong dong mau registrasi kartu perdana simpati",FALSE,0,"Telkomsel",2019-10-17 18:52:34,FALSE,NA,"1184905055880634368","255409050","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ronnibatak",0,FALSE,FALSE,NA,NA
"6746","@yudhantrapriv Hai, Kak Yudha. Maaf udah bikin gak nyaman. Miminc ek udah ada interaksi melalui DM, silakan untuk m… https://t.co/x08zzL22yo",FALSE,0,"yudhantrapriv",2019-10-17 18:52:33,TRUE,"1184898570383552517","1184905051292094464","1064594275","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6747","RT @xxnamjha: RT @xxnamjha: RT @xxnamjha: RT @xxnamjha: RT @xxnamjha: RT @xxnamjha: RT @InfiniteOnpoint: @Telkomsel… https://t.co/XG1Zz2v6tq",FALSE,0,NA,2019-10-17 18:52:12,TRUE,NA,"1184904965552267264",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","xxnamjha",0,FALSE,FALSE,NA,NA
"6748","@Telkomsel Tolong dong mau registrasi kartu nih",FALSE,0,"Telkomsel",2019-10-17 18:51:51,FALSE,"722337908363952128","1184904875949219840","255409050","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ronnibatak",0,FALSE,FALSE,NA,NA
"6749","@siskadeviar Hai, Kak Devi. Maaf atas ketidaknyamanan yang dialami. Terkait tidak bisa aktivasi paket data, infokan… https://t.co/b9q0qwcNLW",FALSE,0,"siskadeviar",2019-10-17 18:51:44,TRUE,"1184854930168745984","1184904846115127296","217633238","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6750","@hyuri08 @askmenfess @Telkomsel Coba aja restart hp atau dari tselnya bermasalah",FALSE,0,"hyuri08",2019-10-17 18:49:53,FALSE,"1184904185319346176","1184904379964346369","231325973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inibukanakunori",0,FALSE,FALSE,NA,NA
"6751","RT @handoko_asli: Awful customer service experience from @Telkomsel 
1. Merasa terancam oleh sms yg mengaku petugas call center 
2. Komplai…",FALSE,0,NA,2019-10-17 18:49:13,FALSE,NA,"1184904214255849473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","herdetya",27,TRUE,FALSE,NA,NA
"6752","@inibukanakunori @askmenfess Tapi pulsa aku dr 15k udah abis total ini, padahal kuota masih ada, gmana sih ini… https://t.co/eVP1uRH4bL",FALSE,0,"inibukanakunori",2019-10-17 18:49:06,TRUE,"1184903752592965632","1184904185319346176","964320805","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hyuri08",0,FALSE,FALSE,NA,NA
"6753","@ronnibatak     Kak, mengenai permintaannya silakan hubungi rekan kami @telkomsel. Trims -kenken",FALSE,0,"ronnibatak",2019-10-17 18:48:52,FALSE,"1184903515258281984","1184904123251978240","1857126679","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkom</a>","TelkomCare",0,FALSE,FALSE,NA,NA
"6754","@Telkomsel ini kuota OMG buat apa ya? Pemakaiannya nunggu kuota biasanya abis atau gimana?",FALSE,0,"Telkomsel",2019-10-17 18:47:56,FALSE,NA,"1184903889390190593","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dahruww",0,FALSE,FALSE,NA,NA
"6755","Mimin @Telkomsel Mohon pencerahan nya dong. Tdi udah tuker 5 poin buat dapetin promo tiket di @tiket . Tapi pas mas… https://t.co/c7gv8SJGJX",FALSE,0,NA,2019-10-17 18:47:48,TRUE,NA,"1184903858327130112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akumichiko",0,FALSE,FALSE,NA,NA
"6756","@Telkomsel Min saya punya quota 24 jam dan barusan beli yang quota malam. Kenapa pulsa saya tersedot, kenapa min?",FALSE,0,"Telkomsel",2019-10-17 18:47:13,FALSE,NA,"1184903710729748480","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BaeSepty_",0,FALSE,FALSE,NA,NA
"6757","@putranebuguru Hai, Kak Putra. Maaf atas ketidaknyamanan yang dialami. Terkait sinyal tidak stabil, infokan nomor,… https://t.co/vK420L4ogq",FALSE,0,"putranebuguru",2019-10-17 18:46:55,TRUE,"1184854450285924353","1184903635559301120","1612094886","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6758","@TelkomCare tolong dong mau registrasi kartu Telkomsel yg baru",FALSE,0,"TelkomCare",2019-10-17 18:46:27,FALSE,NA,"1184903515258281984","155409802","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ronnibatak",0,FALSE,FALSE,NA,NA
"6759","@Telkomsel min, cek dm. Tolong direspon",FALSE,0,"Telkomsel",2019-10-17 18:45:06,FALSE,NA,"1184903178623447040","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobybony",0,FALSE,FALSE,NA,NA
"6760","RT @tayo______: hallo. aku mau give away lagi nih.
10k untuk satu orang, all operator kecuali telkomsel.
retweet saja kok.

mutualan juga b…",FALSE,0,NA,2019-10-17 18:44:53,FALSE,NA,"1184903122096803840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Findda1",41,TRUE,FALSE,NA,NA
"6761","@leejuyeont Baik, untuk interaksi selanjutnya melalui DM. Makasih. -Habi",FALSE,0,"leejuyeont",2019-10-17 18:44:48,FALSE,"1184853787082547200","1184903101196595200","871070772420263936","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6762","Halo @Telkomsel apa-apaan ini kuota masih banyak tapi kok pulsa aku yg kepotong? Dari 15 ribu jd sisa 4 ribu, padah… https://t.co/iS3ZVjHR6b",FALSE,0,NA,2019-10-17 18:41:21,TRUE,NA,"1184902233097265152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hyuri08",0,FALSE,FALSE,NA,NA
"6763","@Realnurhidayat Hai, maaf atas ketidaknyamanan yang dialami. Terkait sinyal tidak stabil, infokan nomor, lokasi, wa… https://t.co/gJRQmKUUII",FALSE,0,"Realnurhidayat",2019-10-17 18:40:49,TRUE,"1184852843821326337","1184902099621928960","220332971","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6764","@MadamNda @Telkomsel @myXL @smartfrenworld @IM3Ooredoo @ThreeUK Hai kak, yuk gunain wifi tetangganya kak :)",FALSE,0,"MadamNda",2019-10-17 18:40:47,FALSE,"1184897977820729344","1184902089094254592","523195471","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tobielkurrahman",0,FALSE,FALSE,NA,NA
"6765","@almascatie Hai, Kak Al. Maaf atas ketidaknyamanan yang dialami. Terkait sinyal tidak stabil, infokan nomor, lokasi… https://t.co/9JYZnQS3fW",FALSE,0,"almascatie",2019-10-17 18:38:33,TRUE,"1184852356904566784","1184901526944272384","51334474","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6766","telkomsel berulah lg",FALSE,0,NA,2019-10-17 18:37:34,FALSE,NA,"1184901281309057025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abvnawas",0,FALSE,FALSE,NA,NA
"6767","Nelpon ke semua operator cuma Rp. 10,-/jam mulai jam 06:00 sampai dengan 23:59. Promo ini berlaku jika TELKOMSEL punya MBAHMU!!",FALSE,0,NA,2019-10-17 18:37:16,FALSE,NA,"1184901207367667713",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","asihpriyati1",0,FALSE,FALSE,NA,NA
"6768","@anrwhyn  Selamat pagi. Terkait paket #Harinya4G dapat dibeli di aplikasi MyTelkomsel. Info lengkap harinya 4G… https://t.co/K4i5yEMvEN",FALSE,0,"anrwhyn",2019-10-17 18:37:05,TRUE,"1184897213660422144","1184901159397388288","1448077064","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6769","@MadamNda digunakan yaitu:
1. Time Based (Midnight)
2. Network Based (4G Only, All Network)
3. Location (Local Quot… https://t.co/bDgjg8R8wr",FALSE,0,"MadamNda",2019-10-17 18:36:22,TRUE,"1184897047280795648","1184900979692470272","523195471","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6770","@MadamNda Hai, Kak Nda. Maaf udah bikin gak nyaman. Mimin cek 085293339xxx pada tanggal 03/10/2019 berhasil aktivas… https://t.co/VYmMuY5dND",FALSE,0,"MadamNda",2019-10-17 18:36:22,TRUE,"1184897047280795648","1184900978186702848","523195471","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6771","@Telkomsel Jd paket 50gb nya bersifat tambahan atau bisa di beli lgsg min? Atau hrs ada paket utama dlu? Ga ngertii sayaa",FALSE,0,"Telkomsel",2019-10-17 18:36:08,FALSE,"1184898052785504257","1184900919227322368","255409050","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awakuterciduk",0,FALSE,FALSE,NA,NA
"6772","@sirpermanasidik Hai, Kak Raden. Maaf atas ketidaknyamanan yang dialami. Terkait sinyal tidak stabil, infokan nomor… https://t.co/KKDlwgtt1u",FALSE,0,"sirpermanasidik",2019-10-17 18:35:37,TRUE,"1184871901325250560","1184900790537687041","156523037","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6773","@Telkomsel Pada bisa kerja gak sih?  udh seminggu nge leg kaga kelar2, paketan mahal kualitas bapuk!",FALSE,0,"Telkomsel",2019-10-17 18:34:48,FALSE,NA,"1184900584274452480","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Febriadrian186",0,FALSE,FALSE,NA,NA
"6774","Telkomsel bangke",FALSE,0,NA,2019-10-17 18:34:46,FALSE,NA,"1184900576762482688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soojungx",0,FALSE,FALSE,NA,NA
"6775","@Telkomsel gila sih ini bener-bener parah lemotnya. Percuma bgt beli paket data harga selangit tp hasilnya kek gini mah",FALSE,1,"Telkomsel",2019-10-17 18:33:43,FALSE,NA,"1184900312265453568","255409050","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soojungx",0,FALSE,FALSE,NA,NA
"6776","@wenyzelikae Hai, Kak Weny. Maaf ya atas ketidaknyamanannya. Mengenai kendala menerima kode OTP, silakan infoin dat… https://t.co/gbBbkbUqOq",FALSE,0,"wenyzelikae",2019-10-17 18:33:21,TRUE,"1184896818116587520","1184900221630763008","630084023","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6777","@cynthia_masita Hai, Kak Cynthia. Maaf atas ketidaknyamanan yang dialami. Terkait keluhan akses data, infokan nomor… https://t.co/6dJ0G8hRTx",FALSE,0,"cynthia_masita",2019-10-17 18:32:33,TRUE,"1184851826820050944","1184900017854697473","281403683","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6778","@Telkomsel jaringan simpati buat download / update di appstore kenapa lemot banget, klo buat stream yutub kenceng,, kenapa?",FALSE,0,"Telkomsel",2019-10-17 18:30:25,FALSE,NA,"1184899483554869253","255409050","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jusufwib",1,FALSE,FALSE,NA,NA
"6779","@MadamNda Mohon maaf atas ketidkanyamanan yang dialami. Untuk keluhan sudah dibantu via DM, interaksi selanjutnya v… https://t.co/NyWG1NMODg",FALSE,0,"MadamNda",2019-10-17 18:30:19,TRUE,"1184897205917777920","1184899455327195136","523195471","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6780","harga paketan @Telkomsel kenapa naik semua eaaaaa :)",FALSE,0,NA,2019-10-17 18:29:27,FALSE,NA,"1184899237357637637",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nadheratsy",0,FALSE,FALSE,NA,NA
"6781","@Telkomsel  Selamat malam.  Saya tertarik dengan program ini https://t.co/uQ7PAh3rRB. Mohon penjelasan detilnya. Te… https://t.co/ILYA9mF7b8",FALSE,0,"Telkomsel",2019-10-17 18:28:48,TRUE,NA,"1184899076896092160","255409050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","izzythufeil",0,FALSE,FALSE,NA,NA
"6782","@handoko_asli @Telkomsel ente yg menyedihkan, badan doang gede dapet sms gitu doang ""saya takut, saya merasa teranc… https://t.co/uTcIkKCSYe",FALSE,0,"handoko_asli",2019-10-17 18:27:12,TRUE,"1183775499283075076","1184898670421921792","126462366","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanangBWC",2,FALSE,FALSE,NA,NA
"6783","@_blank77 Hai, Kak. Mimin cek udah ada interaksi via DM ya. Dimohon berkenan menunggu interaksi selanjutnya melalui DM. Makasih :) -Shawn",FALSE,0,"_blank77",2019-10-17 18:27:10,FALSE,"1184896608132943873","1184898663744622593","986371274149527552","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
"6784","@GR_0189 Baik, silakan tunggu konfirmasi selanjutnya melalui DM yah. Makasih. -Habi",FALSE,0,"GR_0189",2019-10-17 18:27:01,FALSE,"1184850746065346563","1184898626717224960","119370372","<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Sociomedio Pro Telkomsel</a>","Telkomsel",0,FALSE,FALSE,NA,NA
